Gene,Importance,Gene.y,SYMBOL
GDF2,139.765917602993,ENSG00000263761,GDF2
BMP10,129.782637774208,ENSG00000163217,BMP10
COLEC10,123.127117888351,ENSG00000184374,COLEC10
VIPR1,109.816078116638,ENSG00000114812,VIPR1
ANGPTL6,103.160558230781,ENSG00000130812,ANGPTL6
RSPO3,99.8327982878523,ENSG00000146374,RSPO3
ENSG00000243766,6.60381419777008,ENSG00000243766,
HOXD4,6.60381419777008,ENSG00000170166,HOXD4
ENSG00000226363,5.50317849814173,ENSG00000226363,
ENSG00000285711,5.50317849814173,ENSG00000285711,
ENSG00000288060,4.40254279851338,ENSG00000288060,
LCAT,4.40254279851338,ENSG00000213398,LCAT
