Sample,Class
TCGA-5R-AA1C-01A,Tumor
TCGA-ED-A66Y-01A,Tumor
TCGA-DD-AAEI-01A,Tumor
TCGA-ED-A8O5-01A,Tumor
TCGA-DD-A3A2-11A,Normal
TCGA-DD-AACH-01A,Tumor
TCGA-FV-A3R3-01A,Tumor
TCGA-G3-A5SJ-01A,Tumor
TCGA-HP-A5MZ-01A,Tumor
TCGA-ZP-A9D0-01A,Tumor
TCGA-BC-A10W-01A,Tumor
TCGA-DD-A4NH-01A,Tumor
TCGA-G3-A25Z-01A,Tumor
TCGA-DD-A39Z-11A,Normal
TCGA-DD-AACX-01A,Tumor
TCGA-BC-A10X-01A,Tumor
TCGA-DD-AACD-01A,Tumor
TCGA-NI-A8LF-01A,Tumor
TCGA-EP-A2KA-01A,Tumor
TCGA-ZP-A9D4-01A,Tumor
TCGA-DD-AADQ-01A,Tumor
TCGA-DD-AAE7-01A,Tumor
TCGA-GJ-A9DB-01A,Tumor
TCGA-DD-A3A3-01A,Tumor
TCGA-FV-A3I0-11A,Normal
TCGA-FV-A3I0-01A,Tumor
TCGA-DD-A1ED-01A,Tumor
TCGA-5C-A9VG-01A,Tumor
TCGA-EP-A2KB-01A,Tumor
TCGA-CC-A8HU-01A,Tumor
TCGA-DD-AACN-01A,Tumor
TCGA-PD-A5DF-01A,Tumor
TCGA-DD-A1EF-01A,Tumor
TCGA-GJ-A6C0-01A,Tumor
TCGA-DD-A11D-01A,Tumor
TCGA-DD-AADJ-01A,Tumor
TCGA-DD-AADW-01A,Tumor
TCGA-XR-A8TF-01A,Tumor
TCGA-MI-A75G-01A,Tumor
TCGA-DD-AAD1-01A,Tumor
TCGA-ED-A7XO-01A,Tumor
TCGA-CC-A5UE-01A,Tumor
TCGA-DD-A73D-01A,Tumor
TCGA-DD-AACT-01A,Tumor
TCGA-XR-A8TE-01A,Tumor
TCGA-DD-A39X-11A,Normal
TCGA-DD-A39X-01A,Tumor
TCGA-WQ-AB4B-01A,Tumor
TCGA-DD-AACO-01A,Tumor
TCGA-CC-A1HT-01A,Tumor
TCGA-DD-AADS-01A,Tumor
TCGA-DD-AADA-01A,Tumor
TCGA-BC-A10U-11A,Normal
TCGA-CC-A9FW-01A,Tumor
TCGA-DD-A114-11A,Normal
TCGA-BC-A10Q-11A,Normal
TCGA-DD-AAW1-01A,Tumor
TCGA-G3-A5SK-01A,Tumor
TCGA-DD-A1EL-11A,Normal
TCGA-RC-A7SH-01A,Tumor
TCGA-DD-A1EL-01A,Tumor
TCGA-MR-A520-01A,Tumor
TCGA-WX-AA47-01A,Tumor
TCGA-CC-A3MB-01A,Tumor
TCGA-DD-AAEE-01A,Tumor
TCGA-BC-A10W-11A,Normal
TCGA-DD-AAE3-01A,Tumor
TCGA-2Y-A9GT-01A,Tumor
TCGA-5R-AAAM-01A,Tumor
TCGA-DD-A115-01A,Tumor
TCGA-DD-A39W-01A,Tumor
TCGA-DD-A39W-11A,Normal
TCGA-2Y-A9H0-01A,Tumor
TCGA-DD-AAD8-01A,Tumor
TCGA-G3-A7M6-01A,Tumor
TCGA-2V-A95S-01A,Tumor
TCGA-G3-A3CK-01A,Tumor
TCGA-DD-A3A2-01A,Tumor
TCGA-G3-A3CH-01A,Tumor
TCGA-G3-A3CH-11A,Normal
TCGA-DD-A1EI-01A,Tumor
TCGA-CC-A5UD-01A,Tumor
TCGA-2Y-A9GW-01A,Tumor
TCGA-CC-A7IE-01A,Tumor
TCGA-RC-A6M4-01A,Tumor
TCGA-ZS-A9CG-01A,Tumor
TCGA-DD-AACL-01A,Tumor
TCGA-DD-AADC-01A,Tumor
TCGA-BC-A10X-11A,Normal
TCGA-DD-AAD6-01A,Tumor
TCGA-ZP-A9D1-01A,Tumor
TCGA-DD-A3A9-01A,Tumor
TCGA-WQ-A9G7-01A,Tumor
TCGA-DD-A3A3-11A,Normal
TCGA-DD-AAW0-01A,Tumor
TCGA-DD-AAD2-01A,Tumor
TCGA-BC-A112-01A,Tumor
TCGA-2Y-A9GZ-01A,Tumor
TCGA-XR-A8TG-01A,Tumor
TCGA-K7-AAU7-01A,Tumor
TCGA-G3-A25Y-01A,Tumor
TCGA-BC-A10S-01A,Tumor
TCGA-BC-A216-01A,Tumor
TCGA-DD-A11A-11A,Normal
TCGA-DD-A4NR-01A,Tumor
TCGA-CC-A7IG-01A,Tumor
TCGA-DD-A119-01A,Tumor
TCGA-BC-A217-01A,Tumor
TCGA-EP-A2KC-01A,Tumor
TCGA-CC-5259-01A,Tumor
TCGA-2Y-A9GY-01A,Tumor
TCGA-BC-A3KG-01A,Tumor
TCGA-DD-A118-01A,Tumor
TCGA-ES-A2HT-11A,Normal
TCGA-DD-A4NJ-01A,Tumor
TCGA-K7-A6G5-01A,Tumor
TCGA-UB-A7MF-01A,Tumor
TCGA-DD-AADG-01A,Tumor
TCGA-G3-A7M5-01A,Tumor
TCGA-DD-A116-11A,Normal
TCGA-MI-A75C-01A,Tumor
TCGA-ED-A82E-01A,Tumor
TCGA-NI-A4U2-01A,Tumor
TCGA-2Y-A9H3-01A,Tumor
TCGA-CC-A7II-01A,Tumor
TCGA-DD-A3A4-01A,Tumor
TCGA-G3-AAV6-01A,Tumor
TCGA-DD-A3A4-11A,Normal
TCGA-DD-A113-01A,Tumor
TCGA-UB-A7MB-01A,Tumor
TCGA-DD-AAVX-01A,Tumor
TCGA-DD-A73A-01A,Tumor
TCGA-DD-AADD-01A,Tumor
TCGA-ED-A66X-01A,Tumor
TCGA-EP-A26S-11A,Normal
TCGA-2Y-A9H6-01A,Tumor
TCGA-G3-A3CI-01A,Tumor
TCGA-CC-A7IL-01A,Tumor
TCGA-DD-A4NE-01A,Tumor
TCGA-CC-A9FV-01A,Tumor
TCGA-DD-AACZ-01A,Tumor
TCGA-DD-AAE4-01A,Tumor
TCGA-ED-A5KG-01A,Tumor
TCGA-DD-A4ND-01A,Tumor
TCGA-RC-A6M5-01A,Tumor
TCGA-FV-A2QQ-01A,Tumor
TCGA-CC-A8HS-01A,Tumor
TCGA-DD-A1EH-01A,Tumor
TCGA-2Y-A9GX-01A,Tumor
TCGA-DD-A73F-01A,Tumor
TCGA-BC-A10Z-01A,Tumor
TCGA-BC-A69H-01A,Tumor
TCGA-DD-AADR-01A,Tumor
TCGA-ZP-A9CV-01A,Tumor
TCGA-ED-A7XP-01A,Tumor
TCGA-DD-A4NL-01A,Tumor
TCGA-G3-A5SM-01A,Tumor
TCGA-FV-A2QR-01A,Tumor
TCGA-DD-AACK-01A,Tumor
TCGA-DD-A3A5-11A,Normal
TCGA-5R-AA1D-01A,Tumor
TCGA-CC-A123-01A,Tumor
TCGA-CC-A7IK-01A,Tumor
TCGA-DD-AADY-01A,Tumor
TCGA-DD-A39V-11A,Normal
TCGA-DD-A39V-01A,Tumor
TCGA-G3-A25V-01A,Tumor
TCGA-2Y-A9H9-01A,Tumor
TCGA-BC-A8YO-01A,Tumor
TCGA-RC-A7S9-01A,Tumor
TCGA-G3-AAV3-01A,Tumor
TCGA-UB-AA0V-01A,Tumor
TCGA-2Y-A9H5-01A,Tumor
TCGA-CC-A8HV-01A,Tumor
TCGA-BC-A5W4-01A,Tumor
TCGA-DD-A1EE-11A,Normal
TCGA-DD-A3A7-01A,Tumor
TCGA-G3-AAV7-01A,Tumor
TCGA-DD-A4NI-01A,Tumor
TCGA-CC-A9FU-01A,Tumor
TCGA-DD-AAE0-01A,Tumor
TCGA-CC-5264-01A,Tumor
TCGA-DD-AADB-01A,Tumor
TCGA-BC-A216-11A,Normal
TCGA-BC-A10Y-01A,Tumor
TCGA-CC-A3MA-01A,Tumor
TCGA-DD-A73B-01A,Tumor
TCGA-DD-A119-11A,Normal
TCGA-RC-A7SF-01A,Tumor
TCGA-DD-AACW-01A,Tumor
TCGA-DD-AACB-01A,Tumor
TCGA-DD-A3A8-01A,Tumor
TCGA-DD-A3A8-11A,Normal
TCGA-CC-5258-01A,Tumor
TCGA-5C-AAPD-01A,Tumor
TCGA-ED-A459-01A,Tumor
TCGA-DD-AAE2-01A,Tumor
TCGA-DD-AAW3-01A,Tumor
TCGA-BW-A5NP-01A,Tumor
TCGA-DD-A4NK-01A,Tumor
TCGA-DD-AA3A-01A,Tumor
TCGA-BC-4072-01B,Tumor
TCGA-DD-A73G-01A,Tumor
TCGA-XR-A8TD-01A,Tumor
TCGA-KR-A7K0-01A,Tumor
TCGA-DD-A11A-01A,Tumor
TCGA-DD-AADM-01A,Tumor
TCGA-DD-AACF-01A,Tumor
TCGA-DD-AADV-01A,Tumor
TCGA-5C-A9VH-01A,Tumor
TCGA-DD-A3A6-11A,Normal
TCGA-DD-A4NV-01A,Tumor
TCGA-DD-A3A6-01A,Tumor
TCGA-FV-A3I1-01A,Tumor
TCGA-DD-AAVZ-01A,Tumor
TCGA-DD-A1EC-11A,Normal
TCGA-ZS-A9CD-01A,Tumor
TCGA-UB-A7MD-01A,Tumor
TCGA-DD-A1EB-01A,Tumor
TCGA-WJ-A86L-01A,Tumor
TCGA-FV-A4ZQ-01A,Tumor
TCGA-LG-A9QD-01A,Tumor
TCGA-DD-AAD5-01A,Tumor
TCGA-DD-AADL-01A,Tumor
TCGA-G3-A7M7-01A,Tumor
TCGA-MR-A8JO-01A,Tumor
TCGA-DD-A11C-11A,Normal
TCGA-DD-AAE1-01A,Tumor
TCGA-DD-A11C-01A,Tumor
TCGA-RG-A7D4-01A,Tumor
TCGA-BC-A10Q-01A,Tumor
TCGA-WX-AA46-01A,Tumor
TCGA-MI-A75E-01A,Tumor
TCGA-FV-A23B-11A,Normal
TCGA-FV-A23B-01A,Tumor
TCGA-2Y-A9H1-01A,Tumor
TCGA-CC-5262-01A,Tumor
TCGA-DD-A4NF-01A,Tumor
TCGA-DD-AADK-01A,Tumor
TCGA-BC-A10U-01A,Tumor
TCGA-DD-A4NP-01A,Tumor
TCGA-FV-A3R2-01A,Tumor
TCGA-BC-A110-11A,Normal
TCGA-DD-AADF-01A,Tumor
TCGA-ZP-A9D2-01A,Tumor
TCGA-DD-AACP-01A,Tumor
TCGA-BD-A3ER-01A,Tumor
TCGA-RC-A6M3-01A,Tumor
