Gene,SYMBOL,DisplayGene
ENSG00000263761,GDF2,GDF2
ENSG00000145824,CXCL14,CXCL14
ENSG00000225383,SFTA1P,SFTA1P
ENSG00000140505,CYP1A2,CYP1A2
ENSG00000184374,COLEC10,COLEC10
ENSG00000120057,SFRP5,SFRP5
ENSG00000140107,SLC25A47,SLC25A47
ENSG00000140835,CHST4,CHST4
ENSG00000243694,,ENSG00000243694
ENSG00000213398,LCAT,LCAT
ENSG00000146233,CYP39A1,CYP39A1
ENSG00000170509,HSD17B13,HSD17B13
ENSG00000189320,FAM180A,FAM180A
ENSG00000243766,,ENSG00000243766
ENSG00000249173,LINC01093,LINC01093
ENSG00000164161,HHIP,HHIP
ENSG00000182459,TEX19,TEX19
ENSG00000163217,BMP10,BMP10
ENSG00000114812,VIPR1,VIPR1
ENSG00000172425,TTC36,TTC36
ENSG00000288060,,ENSG00000288060
ENSG00000100170,SLC5A1,SLC5A1
ENSG00000164362,TERT,TERT
ENSG00000156006,NAT2,NAT2
ENSG00000146374,RSPO3,RSPO3
ENSG00000251350,LINC02475,LINC02475
ENSG00000116882,HAO2,HAO2
ENSG00000113600,C9,C9
ENSG00000175003,SLC22A1,SLC22A1
ENSG00000176595,KBTBD11,KBTBD11
ENSG00000130812,ANGPTL6,ANGPTL6
ENSG00000175336,APOF,APOF
ENSG00000138115,CYP2C8,CYP2C8
ENSG00000251026,,ENSG00000251026
ENSG00000253508,,ENSG00000253508
ENSG00000224854,,ENSG00000224854
ENSG00000285711,,ENSG00000285711
ENSG00000170743,SYT9,SYT9
ENSG00000183287,CCBE1,CCBE1
ENSG00000111700,SLCO1B3,SLCO1B3
ENSG00000237125,HAND2-AS1,HAND2-AS1
ENSG00000170166,HOXD4,HOXD4
ENSG00000159650,UROC1,UROC1
ENSG00000143369,ECM1,ECM1
ENSG00000134873,CLDN10,CLDN10
ENSG00000166840,GLYATL1,GLYATL1
ENSG00000185652,NTF3,NTF3
ENSG00000160868,CYP3A4,CYP3A4
ENSG00000226363,,ENSG00000226363
ENSG00000198681,MAGEA1,MAGEA1
