"chromosome","length_bp","length_mb","rna_sequence_count","rna_per_mb"
"chr1",248956422,248.956422,7845,31.5115389953668
"chr2",242193529,242.193529,5583,23.0518132464225
"chr3",198295559,198.295559,4943,24.9274367259027
"chr4",190214555,190.214555,3024,15.8978370503771
"chr5",181538259,181.538259,3689,20.3207853833169
"chr6",170805979,170.805979,6988,40.9119167895171
"chr7",159345973,159.345973,3989,25.033578978491
"chr8",145138636,145.138636,3094,21.3175491052569
"chr9",138394717,138.394717,3063,22.1323477253832
"chr10",133797422,133.797422,3611,26.9885618573428
"chr11",135086622,135.086622,4869,36.0435395297693
"chr12",133275309,133.275309,3977,29.8404860573236
"chr13",114364328,114.364328,1510,13.203417765022
"chr14",107043718,107.043718,2546,23.7846745943559
"chr15",101991189,101.991189,3002,29.4339151198639
"chr16",90338345,90.338345,3400,37.6362883335974
"chr17",83257441,83.257441,4615,55.4304809824746
"chr18",80373285,80.373285,1279,15.9132477912281
"chr19",58617616,58.617616,6909,117.865591804348
"chr20",64444167,64.444167,1970,30.569097122475
"chr21",46709983,46.709983,1121,23.9991523867607
"chr22",50818468,50.818468,1863,36.6599008848515
